study_id,record_slug,title_short,primary_cluster,paper_role,modality_context,evaluation_targets,evidence_sources,quality_properties,llm_validation_relevant,source_confidence,notes
1,kadir_metrics_taxonomy,"Evaluation Metrics for XAI: A Review, Taxonomy, and Practical Applications",taxonomy_survey,survey,general,artifact;explainer;model_behavior,proxy;benchmark;human_expert;end_user,fidelity;stability;sparsity;plausibility,no,high,"Taxonomy seed for Paper C; motivates explicit metric-family organization."
2,llm_judge_survey,"A Survey on LLM-as-a-Judge",llm_judge,survey,general,artifact;user_task,llm_judge;human_expert;end_user,semantic_alignment;plausibility;bias;validation,yes,medium,"Frames judge design patterns, failure modes, and validation concerns."
3,recourse_attributions,"Attribution-based Explanations that Provide Recourse",faithfulness_robustness,theoretical,general,artifact;model_behavior;user_task,proxy,recourse;stability;robustness,no,high,"Shows tension between robustness and recourse sensitivity."
4,medical_reasoning_eval,"Automating expert-level medical reasoning evaluation of large language models",llm_judge,empirical_validation,medical,artifact;user_task,llm_judge;human_expert,semantic_alignment;plausibility;validation,yes,title_level,"Illustrates domain-aware rubric scoring with expert-linked evaluation."
5,bxaic_dataset,"B-XAIC Dataset: Benchmarking Explainable AI for Graph Neural Networks Using Chemical Data",modality_domain,benchmark,graph,artifact;model_behavior,benchmark;proxy,fidelity;benchmark_realism;transferability,no,high,"Ground-truth-rationale benchmark for graph explanations."
6,rashomon_consensus,"Consensus on Feature Attributions in the Rashomon Set",faithfulness_robustness,theoretical,general,artifact;model_behavior,proxy,uncertainty;consensus;global_consistency,no,high,"Introduces model-multiplicity uncertainty into attribution interpretation."
7,salient_neurons_nlp,"Discovering Salient Neurons in deep NLP models",modality_domain,boundary_case,nlp,artifact,proxy,scope_boundary;localization,no,high,"Useful mainly for keeping representation-level interpretability distinct from post-hoc attribution evaluation."
8,gnn_eval_framework,"Evaluating explainability for graph neural networks",modality_domain,benchmark_framework,graph,artifact;model_behavior,benchmark;proxy,fidelity;benchmark_realism;transferability,no,title_level,"Supports modality-specific caveats for graph settings."
9,multiple_metrics_critical,"Evaluating the necessity of the multiple metrics for assessing explainable AI: A critical examination",taxonomy_survey,evaluation_critique,general,artifact;explainer,proxy,fidelity;stability;sparsity;metric_complementarity,no,high,"Argues that multi-metric suites capture complementary behavior."
10,eval_nn_explanations,"Evaluation of Neural Network Explanations and Beyond",taxonomy_survey,survey,general,artifact;explainer;model_behavior,proxy;benchmark,fidelity;stability;standardization,no,high,"Used to support transparent and standardized evaluation reporting."
11,paddlepaddle_xai,"Explaining Deep Models in PaddlePaddle",benchmark_toolkit,toolkit,general,artifact;explainer,proxy,reproducibility;tooling,no,high,"Practical toolkit example showing modular integration concerns."
12,f_fidelity,"F-Fidelity: A Robust Framework for Faithfulness Evaluation of Explainable AI",faithfulness_robustness,metric_framework,general,artifact;model_behavior,proxy,fidelity;robustness,no,medium,"Pushes faithfulness interpretation toward robustness-aware testing."
13,global_rule_summaries,"Globally-Consistent Rule-Based Summary-Explanations for Machine Learning Models",faithfulness_robustness,theoretical,general,artifact;explainer,proxy,global_consistency;plausibility,no,high,"Helps distinguish local quality from global consistency."
14,mtbench_judging,"Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena",llm_judge,validation_benchmark,general,artifact;user_task,llm_judge;end_user,bias;validation,yes,high,"Key evidence that LLM judges need empirical calibration against human preferences."
15,shap_complexity,"On the Complexity of SHAP-Score-Based Explanations",faithfulness_robustness,theoretical,general,artifact;explainer,proxy,runtime;complexity,no,high,"Supports cost and tractability as first-class evaluation concerns."
16,vit_faithfulness,"On the Faithfulness of Vision Transformer Explanations",modality_domain,empirical_metric_study,vision,artifact;model_behavior,proxy;benchmark,fidelity;metric_limitations,no,high,"Shows that faithfulness metrics can fail to discriminate even within a mature modality."
17,openxai,"OpenXAI: Towards a Transparent Evaluation of Post hoc Model Explanations",benchmark_toolkit,benchmark_toolkit,general,artifact;explainer;model_behavior,proxy;benchmark,fidelity;stability;reproducibility;fairness,no,high,"Repository-aligned benchmark toolkit emphasizing transparent artifact structure."
18,quantus,"Quantus: An Explainable AI Toolkit for Responsible Evaluation of Neural Network Explanations and Beyond",benchmark_toolkit,toolkit,general,artifact;explainer,proxy,fidelity;stability;reproducibility,no,high,"Toolkit reference for evaluation metric definitions and implementation discipline."
19,shap_sampling,"Sampling Permutations for Shapley Value Estimation",faithfulness_robustness,theoretical,general,artifact;explainer,proxy,runtime;variance;approximation,no,high,"Explains why runtime and variance can depend on estimator design rather than explainer family alone."
20,faithful_shapley_interaction,"The Faithful Shapley Interaction Index",faithfulness_robustness,theoretical,general,artifact;model_behavior,proxy,fidelity;interaction_effects,no,high,"Highlights interaction effects omitted by simpler feature-attribution setups."
21,user_perceptions_proxy_judges,"User perceptions vs. proxy LLM judges: Privacy and helpfulness in LLM responses to privacy-sensitive scenarios",llm_judge,user_study,general,user_task,end_user;llm_judge,user_alignment;validation;bias,yes,high,"Strong external-validity warning for proxy-judge conclusions."
22,prototypical_fewshot_xai,"Using Prototypical Few-Shot Architecture for Explainable AI",modality_domain,boundary_case,vision,artifact;user_task,proxy,scope_boundary;intrinsic_interpretability,no,medium,"Included mainly as a scope boundary against intrinsic and representation-level interpretability claims."
23,shap_vaeac_dependence,"Using Shapley Values and Variational Autoencoders to Explain Predictive Models with Dependent Mixed Features",faithfulness_robustness,empirical_method,tabular,artifact;model_behavior,proxy,fidelity;feature_dependence,no,high,"Supports dependence-aware caveats for tabular perturbation metrics."
24,xai_beyond_classification,"XAI Beyond Classification",modality_domain,boundary_case,unsupervised,artifact;user_task,proxy,scope_boundary;transferability,no,high,"Used to mark the current survey as classification-centered and post-hoc bounded."
