experiment_name,dataset,duration,model,explainer,cost_mean,cost_std,sparsity_mean,sparsity_std,fidelity_mean,fidelity_std,faithfulness_gap_mean,faithfulness_gap_std,stability_mean,stability_std
rec_p1_exp2_mlp_shap_s789_n100,adult,6152.964097,adult_mlp,shap,721.2694405134243,225.88067133802784,0.09259259259259257,1.3877787807814457e-17,0.7273719959935443,0.14327309373024485,0.38025064460613095,0.26961586515429603,0.3398456992780129,0.24215923892942226
rec_p1_exp2_svm_shap_s123_n200,adult,618208.326254,adult_svm,shap,44670.788584552014,8068.105312515724,0.09259259259259257,1.3877787807814457e-17,0.8776750494487401,0.1626696783173231,0.34209813760767277,0.29760186311627757,0.9207208363565265,0.07532424083924052
rec_p1_exp2_mlp_shap_s42_n50,adult,3093.871713,adult_mlp,shap,694.5557963717147,234.89352075462227,0.09259259259259257,1.3877787807814457e-17,0.7272829675690485,0.14422114709433437,0.38679955077320616,0.29119352900129475,0.339002990562621,0.2577701214189859
rec_p1_exp2_mlp_shap_s999_n200,adult,12164.582035,adult_mlp,shap,709.116414247037,220.68359946915007,0.09259259259259257,1.3877787807814457e-17,0.7241095959011516,0.13636180062357187,0.3694403402637254,0.27367184275484857,0.32056220093390303,0.23504881742701414
rec_p1_exp2_svm_shap_s999_n200,adult,620935.383038,adult_svm,shap,44714.7366992513,8462.887737538776,0.09259259259259257,1.3877787807814457e-17,0.8857686428083152,0.15252047863616613,0.34263212474208316,0.28909056293632046,0.9253699148184988,0.0715963778786921
rec_p1_exp2_svm_shap_s123_n50,adult,261737.150154,adult_svm,shap,75619.28559864784,18906.568793036186,0.09259259259259257,1.3877787807814457e-17,0.8775156649172975,0.16862631099985181,0.34312335870755506,0.28733544360702945,0.9264721029991665,0.0709108648233365
rec_p1_exp2_mlp_shap_s123_n200,adult,12313.60539,adult_mlp,shap,733.9168170330231,236.23490612265564,0.09259259259259257,1.3877787807814457e-17,0.7181212739867188,0.14835545399661498,0.3693473742813858,0.2816797909372477,0.31114851717867814,0.2288223435821338
rec_p1_exp2_mlp_shap_s456_n200,adult,12005.580181,adult_mlp,shap,684.0692837929237,225.20831019117747,0.09259259259259257,1.3877787807814457e-17,0.7256976921848964,0.15395615061870294,0.3920122497441198,0.27907754429177717,0.3267239976894568,0.24022137609813962
rec_p1_exp2_mlp_shap_s42_n100,adult,6011.438032,adult_mlp,shap,699.1376014170237,203.2120869141317,0.09259259259259257,1.3877787807814457e-17,0.7266618828336209,0.14651442972824968,0.37687826784172523,0.2860205057473389,0.346499524351255,0.24638232076911412
rec_p1_exp2_svm_shap_s789_n200,adult,617114.243859,adult_svm,shap,44993.26546287624,8465.227451320508,0.09259259259259257,1.3877787807814457e-17,0.8874659701117019,0.14922364927717854,0.3514660296695936,0.29975829225549055,0.9225396482247787,0.07342252093808548
rec_p1_exp2_mlp_shap_s999_n50,adult,2163.477836,adult_mlp,shap,481.48910660500405,119.64609745187208,0.09259259259259257,1.3877787807814457e-17,0.7365528161445201,0.12741043173961406,0.34575205349251376,0.2679441973207921,0.3236548981555129,0.24450157028524366
rec_p1_exp2_svm_shap_s123_n100,adult,481959.800863,adult_svm,shap,70003.89915149179,16609.850777396263,0.09259259259259257,1.3877787807814457e-17,0.8759548237999857,0.16439603692483823,0.3418519394452103,0.29353782831019215,0.9205106073350288,0.07468656822383622
rec_p1_exp2_svm_shap_s42_n100,adult,492810.729832,adult_svm,shap,68470.20453639445,14912.447905791143,0.09259259259259257,1.3877787807814457e-17,0.8807207461222615,0.16147764391947514,0.35062665361456374,0.2927213493931176,0.9252551285124452,0.07264546263920366
rec_p1_exp2_svm_shap_s789_n100,adult,459804.202567,adult_svm,shap,66628.44532459363,15401.385661564962,0.09259259259259257,1.3877787807814457e-17,0.8916680417480127,0.14139627718581743,0.35051909395540404,0.29558149250799004,0.9213009189536365,0.07343210778268287
rec_p1_exp2_mlp_shap_s456_n100,adult,3390.882531,adult_mlp,shap,387.1848600616795,101.51942523715593,0.09259259259259257,1.3877787807814457e-17,0.721556971101541,0.1579732147716216,0.38179605470268696,0.2894014196717606,0.34813904657000366,0.2515669940256974
rec_p1_exp2_svm_shap_s999_n100,adult,312582.888764,adult_svm,shap,45250.55380357779,8078.897631857872,0.09259259259259257,1.3877787807814457e-17,0.8803656879937125,0.15641606137609662,0.33340169524599444,0.28587090413483407,0.9243987948197783,0.07137273198176884
rec_p1_exp2_mlp_shap_s123_n50,adult,1759.355313,adult_mlp,shap,403.09903931221925,118.34246385279914,0.09259259259259257,1.3877787807814457e-17,0.7173165617024394,0.15347318813039634,0.3689921801934198,0.27694050600244297,0.31155933556715293,0.23271554907290604
rec_p1_exp2_svm_shap_s789_n50,adult,236549.825238,adult_svm,shap,68086.0899267334,16337.051508657021,0.09259259259259257,1.3877787807814457e-17,0.893927007742423,0.1409306739323663,0.3460612171801359,0.28923485670261456,0.9210673955126292,0.07180404379784913
rec_p1_exp2_mlp_shap_s789_n200,adult,8241.875674,adult_mlp,shap,465.92816140531795,109.49624195735896,0.09259259259259257,1.3877787807814457e-17,0.7263784423050137,0.13891049283274393,0.3747260186320709,0.27527994258078314,0.332403003231685,0.23697149847169058
rec_p1_exp2_mlp_shap_s789_n50,adult,2086.024687,adult_mlp,shap,466.23672329005785,113.31048922340833,0.09259259259259257,1.3877787807814457e-17,0.7238783069391198,0.13819596519691613,0.36344497194886977,0.2740965276817101,0.34201462627484175,0.24538923295691598
rec_p1_exp2_mlp_shap_s42_n200,adult,7743.839193,adult_mlp,shap,455.58718026819406,172.07796455895908,0.09259259259259257,1.3877787807814457e-17,0.7306666433281586,0.1395301588074738,0.3884918011726677,0.28346303321496935,0.340423146997562,0.2403285421462774
rec_p1_exp2_mlp_shap_s123_n100,adult,4509.701731,adult_mlp,shap,523.6270365054952,167.72494250539856,0.09259259259259257,1.3877787807814457e-17,0.7186076615940948,0.14425419562087674,0.37081430797528475,0.2865651900483573,0.32279760868455926,0.23578587060459386
rec_p1_exp2_svm_shap_s42_n50,adult,182994.602403,adult_svm,shap,54400.35113654114,12924.34507378242,0.09259259259259257,1.3877787807814457e-17,0.875307295038725,0.1747342147445881,0.3471448750104374,0.294297046438681,0.9287631438090032,0.06882929819514416
rec_p1_exp2_svm_shap_s999_n50,adult,185768.053044,adult_svm,shap,54917.152182865066,14003.363744196216,0.09259259259259257,1.3877787807814457e-17,0.8831068004011007,0.1525950724884723,0.3363209471450784,0.2850858803967985,0.9313523566266181,0.061912142207645085
rec_p1_exp2_svm_shap_s456_n200,adult,348450.020066,adult_svm,shap,48250.957458719815,11513.229318342572,0.09259259259259257,1.3877787807814457e-17,0.8827328260755106,0.16317821490111534,0.3463805304932999,0.29700093754191165,0.9264143760223459,0.0718670163756187
rec_p1_exp2_mlp_shap_s456_n50,adult,1336.862994,adult_mlp,shap,300.2849334347411,62.203117233874984,0.09259259259259257,1.3877787807814457e-17,0.7149138679947132,0.1580809989062125,0.39219997586129424,0.3043555595973017,0.34244641390011565,0.24637630390013657
rec_p1_exp2_svm_shap_s456_n100,adult,351661.256614,adult_svm,shap,52459.725909688066,12968.569170755029,0.09259259259259257,1.3877787807814457e-17,0.8792756630262001,0.17063010483741614,0.3471257544471253,0.2955849111665277,0.9286371908736487,0.06794548413542098
rec_p1_exp2_mlp_shap_s999_n100,adult,2556.080828,adult_mlp,shap,294.56768477728474,72.56329666278347,0.09259259259259257,1.3877787807814457e-17,0.7333145556857061,0.13077256027837098,0.3719627187703977,0.270169651588925,0.3228252596550925,0.2356941555941529
rec_p1_exp2_svm_shap_s456_n50,adult,172852.71114,adult_svm,shap,49951.138989468745,12117.555434173832,0.09259259259259257,1.3877787807814457e-17,0.8765290764667151,0.1754305773429129,0.35133306060135183,0.2998127244948112,0.926257977881248,0.06803832581500975
rec_p1_exp2_svm_shap_s42_n200,adult,347317.053539,adult_svm,shap,25040.436156026008,14846.103756148736,0.09259259259259257,1.3877787807814457e-17,0.8812437712669834,0.1585905356202028,0.3463866478329375,0.2953152933023101,0.9231132020973786,0.07551105344741099
